🔴  央视频道,#genre#
浙江卫视,http://222.85.69.6/TVOD/88888888/224/3221227008/index.m3u8?icpid=88888888&servicetype=3&playseek=
浙江卫视,http://222.85.69.6/TVOD/88888888/224/3221226586/10000100000000060000000000527296_0.smil/index.m3u8?fmt=ts2hls&servicetype=
浙江卫视,http://222.85.69.6/PLTV/88888888/224/3221227008/index.m3u8?icpid=88888888&servicetype=2&npt=
浙江卫视,http://222.85.69.6/PLTV/88888888/224/3221226586/10000100000000060000000000527296_0.smil/index.m3u8?
东南卫视,http://222.85.69.6/PLTV/88888888/224/3221227023/index.m3u8?icpid=88888888&servicetype=1
东南卫视,rtp://239.16.10.16:2000
东南卫视,http://222.85.69.6/TVOD/88888888/224/3221227023/index.m3u8?icpid=88888888&servicetype=3&playseek=
东南卫视,http://222.85.69.6/TVOD/88888888/224/3221226428/10000100000000060000000000398844_0.smil/index.m3u8?fmt=ts2hls&servicetype=
东南卫视,http://222.85.69.6/PLTV/88888888/224/3221227023/index.m3u8?icpid=88888888&servicetype=2&npt=
东南卫视,http://222.85.69.6/PLTV/88888888/224/3221226428/10000100000000060000000000398844_0.smil/index.m3u8?fmt=ts2hls&servicetype=
云南卫视,http://222.85.69.6/PLTV/88888888/224/3221227051/index.m3u8?icpid=88888888&servicetype=1
云南卫视,rtp://239.16.10.19:2000
云南卫视,http://222.85.69.6/TVOD/88888888/224/3221227051/index.m3u8?icpid=88888888&servicetype=3&playseek=
云南卫视,http://222.85.69.6/TVOD/88888888/224/3221226431/10000100000000060000000000399658_0.smil/index.m3u8?fmt=ts2hls&servicetype=
云南卫视,http://222.85.69.6/PLTV/88888888/224/3221227051/index.m3u8?icpid=88888888&servicetype=2&npt=
云南卫视,http://222.85.69.6/PLTV/88888888/224/3221226431/10000100000000060000000000399658_0.smil/index.m3u8?
贵州卫视,http://222.85.69.6/PLTV/88888888/224/3221227001/index.m3u8?icpid=88888888&servicetype=1
贵州卫视,rtp://239.16.10.15:2000
贵州卫视,http://222.85.69.6/TVOD/88888888/224/3221227001/index.m3u8?icpid=88888888&servicetype=3&playseek=
贵州卫视,http://222.85.69.6/TVOD/88888888/224/3221226425/10000100000000060000000000398838_0.smil/index.m3u8?fmt=ts2hls&servicetype=
贵州卫视,http://222.85.69.6/PLTV/88888888/224/3221227001/index.m3u8?icpid=88888888&servicetype=2&npt=
贵州卫视,http://222.85.69.6/PLTV/88888888/224/3221226425/10000100000000060000000000398838_0.smil/index.m3u8?
四川卫视,http://222.85.69.6/PLTV/88888888/224/3221227026/index.m3u8?icpid=88888888&servicetype=1
四川卫视,rtp://239.16.10.20:2000
四川卫视,http://222.85.69.6/TVOD/88888888/224/3221227026/index.m3u8?icpid=88888888&servicetype=3&playseek=
四川卫视,http://222.85.69.6/TVOD/88888888/224/3221226440/10000100000000060000000000399659_0.smil/index.m3u8?fmt=ts2hls&servicetype=
四川卫视,http://222.85.69.6/PLTV/88888888/224/3221227026/index.m3u8?icpid=88888888&servicetype=2&npt=
四川卫视,http://222.85.69.6/PLTV/88888888/224/3221226440/10000100000000060000000000399659_0.smil/index.m3u8?
江西卫视,http://222.85.69.6/PLTV/88888888/224/3221227024/index.m3u8?icpid=88888888&servicetype=1
江西卫视,rtp://239.16.10.23:2000
